073325005014,Elmstein,32,421011.61305,5467420.83485
073395003041,Nieder-Hilbersheim,39,430513.4122,5530019.3182
071325001049,Hemmelzen,32,399720.7099,5616395.8645
120730579579,Uckerland,73,816958.6019,5935603.2125
130565621044,Massow,56,728361.86715,5911803.67325
091740151151,Weichs,74,678978.6763,5361627.45915
071375004093,Rieden,37,370294.4537,5583755.17285
082365001068,Wurmberg,36,486728.52885,5413552.6838
071315001501,Dümpelfeld,31,353570.09855,5589256.03875
034545404029,Lathen,54,388316.21845,5856889.23315
081160072072,Wernau (Neckar),16,530911.29915,5392855.3383
081165003042,Neckartenzlingen,16,517421.62375,5381210.995
083175005041,Hausach,17,438130.23735,5349913.2958
071435005009,Deesen,43,407770.96405,5595706.28365
093740133133,Luhe-Wildenau,74,726415.6126,5497003.44545
071325006096,Roth,32,408671.6007,5624083.5644
073385003009,Großniedesheim,38,449795.62355,5491839.033
071315002027,Heckenbach,31,363064.82235,5589674.9812
100440118118,Schwalbach,44,342454.89615,5463934.90925
064320009009,Groß-Bieberau,32,486981.3259,5514812.2985
031545403022,Süpplingenburg,54,629741.36785,5791468.258
160645009035,Kleinwelsbach,64,616270.74525,5669979.87715
010615168078,Nutteln,61,524621.9841,5981641.6084
130595919103,Wusterhusen,59,802779.8759,6004976.2606
081165002054,Owen,16,532673.38195,5381610.86445
130555516023,Godendorf,55,775422.23045,5908671.40035
010605086091,Traventhal,60,587097.87665,5972604.1993
094750113113,Berg,75,697867.4022,5584428.6813
073315003047,Mörstadt,31,446280.37095,5501052.93475
160615001026,Ecklingerode,61,592222.9652,5707213.29645
130585829001,Alt Meteln,58,653691.7385,5956607.42435
073315005070,Wendelsheim,31,426120.41045,5512024.41415
092755229160,Witzmannsberg,75,825252.9459,5406573.303
083355005077,Steißlingen,35,493479.13085,5293678.81595
095715508218,Weiltingen,71,606156.21445,5431840.1731
084265006135,Gutenzell-Hürbel,26,573179.11325,5330902.76255
093730160160,Seubersdorf i.d. OPf.,73,690711.7472,5448440.1335
033535402024,Marxen,53,567682.9819,5906840.32195
033605406027,Wieren,60,613030.2016,5862896.3155
130575724031,Grammendorf,57,752526.8303,5992333.4749
096785642122,Dingolshausen,78,600417.04095,5529744.09425
073375003027,Freimersheim (Pfalz),37,443883.563,5457552.42125
