SATZART;AGS;NAME;EWZ;EW_M;EW_W;EW_D;EW_A;ALTER_1;ALTER_2;ALTER_3;ALTER_4;ALTER_5
60;091890115115;Engelsberg; 2 616; 1 339; 1 277; 2 465;  151;  554;  457;  709;  520;  376
50;091890118;Fridolfing; 4 093; 2 049; 2 044; 3 931;  162;  768;  575; 1 157;  870;  723
60;091890118118;Fridolfing; 4 093; 2 049; 2 044; 3 931;  162;  768;  575; 1 157;  870;  723
50;091890119;Grabenstätt; 4 185; 2 000; 2 185; 4 017;  168;  707;  530; 1 145;  899;  904
60;091890119119;Grabenstätt; 4 185; 2 000; 2 185; 4 017;  168;  707;  530; 1 145;  899;  904
50;091890120;Grassau, M; 6 291; 3 058; 3 233; 5 689;  602; 1 046;  774; 1 635; 1 351; 1 485
60;091890120120;Grassau, M; 6 291; 3 058; 3 233; 5 689;  602; 1 046;  774; 1 635; 1 351; 1 485
50;091890124;Inzell; 4 470; 2 159; 2 311; 4 260;  210;  703;  579; 1 154;  920; 1 114
60;091890124124;Inzell; 4 470; 2 159; 2 311; 4 260;  210;  703;  579; 1 154;  920; 1 114
50;091890127;Kirchanschöring; 3 091; 1 560; 1 531; 2 982;  109;  646;  421;  889;  598;  537
60;091890127127;Kirchanschöring; 3 091; 1 560; 1 531; 2 982;  109;  646;  421;  889;  598;  537
50;091890130;Nußdorf; 2 438; 1 205; 1 233; 2 353;  85;  466;  253;  720;  535;  464
60;091890130130;Nußdorf; 2 438; 1 205; 1 233; 2 353;  85;  466;  253;  720;  535;  464
50;091890134;Palling; 3 358; 1 678; 1 680; 3 249;  109;  657;  482;  934;  706;  579
60;091890134134;Palling; 3 358; 1 678; 1 680; 3 249;  109;  657;  482;  934;  706;  579
50;091890135;Petting; 2 300; 1 191; 1 109; 2 232;  68;  470;  325;  677;  415;  413
60;091890135135;Petting; 2 300; 1 191; 1 109; 2 232;  68;  470;  325;  677;  415;  413
50;091890139;Reit im Winkl; 2 367; 1 150; 1 217; 2 165;  202;  330;  285;  610;  534;  608
60;091890139139;Reit im Winkl; 2 367; 1 150; 1 217; 2 165;  202;  330;  285;  610;  534;  608
50;091890140;Ruhpolding; 6 389; 3 069; 3 320; 5 992;  397; 1 000;  725; 1 618; 1 377; 1 669
60;091890140140;Ruhpolding; 6 389; 3 069; 3 320; 5 992;  397; 1 000;  725; 1 618; 1 377; 1 669
50;091890141;Schleching; 1 665;  804;  862; 1 618;  48;  238;  168;  411;  381;  468
60;091890141141;Schleching; 1 665;  804;  862; 1 618;  48;  238;  168;  411;  381;  468
50;091890142;Schnaitsee; 3 502; 1 758; 1 744; 3 406;  96;  717;  488;  963;  730;  604
60;091890142142;Schnaitsee; 3 502; 1 758; 1 744; 3 406;  96;  717;  488;  963;  730;  604
50;091890143;Seeon-Seebruck; 4 519; 2 208; 2 311; 4 339;  180;  825;  570; 1 272;  923;  929
60;091890143143;Seeon-Seebruck; 4 519; 2 208; 2 311; 4 339;  180;  825;  570; 1 272;  923;  929
50;091890145;Siegsdorf; 8 099; 3 904; 4 195; 7 770;  329; 1 387;  972; 2 190; 1 635; 1 915
60;091890145145;Siegsdorf; 8 099; 3 904; 4 195; 7 770;  329; 1 387;  972; 2 190; 1 635; 1 915
50;091890148;Surberg; 3 143; 1 569; 1 574; 3 039;  104;  603;  395;  931;  624;  590
60;091890148148;Surberg; 3 143; 1 569; 1 574; 3 039;  104;  603;  395;  931;  624;  590
50;091890149;Tacherting; 5 509; 2 715; 2 794; 5 355;  154; 1 084;  746; 1 585; 1 038; 1 056
60;091890149149;Tacherting; 5 509; 2 715; 2 794; 5 355;  154; 1 084;  746; 1 585; 1 038; 1 056
50;091890152;Tittmoning, St; 5 830; 2 915; 2 915; 5 540;  290; 1 085;  847; 1 572; 1 219; 1 107
60;091890152152;Tittmoning, St; 5 830; 2 915; 2 915; 5 540;  290; 1 085;  847; 1 572; 1 219; 1 107
50;091890154;Traunreut, St; 19 941; 9 620; 10 320; 17 800; 2 140; 3 220; 2 690; 5 140; 4 370; 4 520
60;091890154154;Traunreut, St; 19 941; 9 620; 10 320; 17 800; 2 140; 3 220; 2 690; 5 140; 4 370; 4 520
50;091890155;Traunstein, GKSt; 18 635; 8 770; 9 870; 17 300; 1 330; 2 980; 2 540; 5 180; 3 590; 4 350
60;091890155155;Traunstein, GKSt; 18 635; 8 770; 9 870; 17 300; 1 330; 2 980; 2 540; 5 180; 3 590; 4 350
50;091890157;Trostberg, St; 11 201; 5 400; 5 800; 10 540;  670; 1 850; 1 560; 2 880; 2 250; 2 660
60;091890157157;Trostberg, St; 11 201; 5 400; 5 800; 10 540;  670; 1 850; 1 560; 2 880; 2 250; 2 660
50;091890159;Übersee; 4 824; 2 343; 2 480; 4 666;  157;  888;  608; 1 424;  994;  909
60;091890159159;Übersee; 4 824; 2 343; 2 480; 4 666;  157;  888;  608; 1 424;  994;  909
50;091890160;Unterwössen; 3 434; 1 660; 1 774; 3 280;  154;  571;  385;  850;  695;  933
60;091890160160;Unterwössen; 3 434; 1 660; 1 774; 3 280;  154;  571;  385;  850;  695;  933
50;091895166;Bergen (VGem); 6 625; 3 160; 3 465; 6 419;  206; 1 130;  791; 1 806; 1 333; 1 565
60;091895166113;Bergen; 4 782; 2 279; 2 503; 4 604;  178;  770;  530; 1 274;  976; 1 232
60;091895166161;Vachendorf; 1 843;  881;  962; 1 815;  28;  360;  261;  532;  357;  333
50;091895169;Marquartstein (VGem); 4 304; 2 038; 2 266; 4 106;  198;  791;  453; 1 080;  825; 1 155
60;091895169129;Marquartstein; 3 181; 1 477; 1 704; 3 021;  160;  581;  321;  765;  600;  914
60;091895169146;Staudach-Egerndach; 1 123;  561;  562; 1 085;  38;  210;  132;  315;  225;  241
